id,barcode,name,price,stock,description,purchasePrice,categoryId,wholesaPrice,howToSell,isActive,entry,output,imgUrl,stocktaking,minimumstock
667,7.50129E+12,pegamento blanco makyco 125 gramos,27,0,pegamento blanco makyco 125 gramos,16,5,21.6,Unidad,1,0,0,default.png,1,1
668,7.50102E+12,masa moldeable pelikan,28,1,masa moldeable pelikan,16.31,5,28,Unidad,1,0,0,default.png,1,1
669,7.50102E+12,Masa moldeable pelikan,28,1,Masa moldeable pelikan,16.31,5,28,Unidad,1,0,0,default.png,1,1
670,7.50102E+12,Masa moldeable pelikan,28,1,Masa moldeable pelikan,16.31,5,28,Unidad,1,0,0,default.png,1,1
671,7.50102E+12,Masa moldeable pelikan,28,1,Masa moldeable pelikan,16.31,5,28,Unidad,1,0,0,default.png,1,1
672,545456222,etiquetas tamaño carta janel,5,18,etiquetas tamaño carta janel,2.52,5,5,Unidad,1,0,0,default.png,1,1
673,7.50303E+12,combo cargador,65,0,combo cargador,30,9,42,Unidad,1,0,0,default.png,1,1
674,7.50102E+12,Marcador permananete Pelikan,22,10,Marcador permananete Pelikan,12.58,5,22,Unidad,1,0,0,default.png,1,1
675,7.50301E+12,Cuaderno frances cosido strike isi cuadro chico,47,3,Cuaderno frances cosido strike isi cuadro chico,28.12,5,47,Unidad,1,0,0,default.png,1,1
676,7.50301E+12,Cuaderno frances cosido strike isi cuadro grande,47,3,Cuaderno frances cosido strike isi cuadro grande,28.12,5,47,Unidad,1,0,0,default.png,1,1
677,7.50301E+12,Cuaderno frances cosido strike isi dibujo,47,2,Cuaderno frances cosido strike isi dibujo,28.12,5,47,Unidad,1,0,0,default.png,1,1
678,77778888777,foamy moldeable bolsita individual,3,0,foamy moldeable bolsita individual,3,13,3,Unidad,0,0,0,default.png,1,1
679,7.50303E+12,combo cargador tipo C 1 hora,60,-2,combo cargador tipo C 1 hora,27.5,9,38.5,Unidad,1,0,0,default.png,1,1
680,6.97067E+12,corrector cinta 2 pzs,20,0,corrector cinta 2 pzs,10,1,18,Unidad,1,0,0,default.png,1,1
681,6.97067E+12,corrector cinta unicornio,10,1,corrector cinta unicornio,4,5,9,Unidad,1,0,0,default.png,1,1
682,2.55843E+14,moño charro,20,2,moño charro,12,5,18,Unidad,1,0,0,default.png,1,1
683,5.64515E+11,bigote,7,39,bigote,3,5,6,Unidad,1,0,0,default.png,1,1
684,VGA-008,COMBO CARGADOR iPHONE,50,2,COMBO CARGADOR iPHONE,19,9,26.6,Unidad,1,0,0,default.png,1,1
685,6.97726E+12,CARGADOR DOBLE VGA-024,40,-3,CARGADOR DOBLE VGA-024,21,9,29.4,Unidad,1,0,0,default.png,1,1
686,7778,Bicolor grueso santa cruz,16,9,Bicolor grueso santa cruz,10,5,16,Unidad,1,0,0,default.png,1,1
687,7.90203E+11,Tortuguita,5,15,Tortuguita,5,14,5,Unidad,1,0,0,default.png,1,1
688,1600001,Espiral para engargolar 14mm para 110 hojas,3,14,Espiral para engargolar 14mm para 110 hojas,1.18,5,3,Unidad,1,0,0,default.png,1,1
689,1600002,Espiral para engargolar 16mm para 150 hojas,3,27,Espiral para engargolar 16mm para 150 hojas,1.8,5,3,Unidad,1,0,0,default.png,1,1
690,7.50228E+12,corrector tipo pluma shely c/12,20,12,corrector tipo pluma shely c/12,11.5,5,20,Unidad,1,0,0,default.png,1,1
691,6.9729E+12,Cargador tipo C VGA001 20 w,80,1,Cargador tipo C VGA001 20 w,39,9,54.6,Unidad,1,0,0,default.png,1,1
692,7.5051E+12,Audifonos bluetooth XR3202,120,120,Audifonos bluetooth XR3202,57,9,79.8,Unidad,1,0,0,default.png,1,1
693,7.5051E+12,audifono bluetooth diadema p47  xr-3210,90,1,audifono bluetooth diadema p47  xr-3210,44,9,61.6,Unidad,1,0,0,default.png,1,1
694,7.50102E+12,Silicon liquido pelikan 30 ml,14,5,Silicon liquido pelikan 30 ml,8.29,5,14,Unidad,1,0,0,default.png,1,1
695,7.50102E+12,Silicon liquido pelikan 100 ml,29,3,Silicon liquido pelikan 100 ml,16.29,5,29,Unidad,1,0,0,default.png,1,1
696,787897987,Cacahuates,7,0,Cacahuates,7,14,7,Unidad,1,0,0,default.png,1,1
697,16584,calavera figura foami,6,5,calavera figura foami,0,5,0,Unidad,1,0,0,default.png,1,1
698,800001,cortina metálica,20,7,cortina metálica,8,5,0,Unidad,1,0,0,default.png,1,1
699,6.98458E+12,pintura para cara,20,5,pintura para cara,10,5,0,Unidad,1,0,0,default.png,1,1
700,7.50228E+12,engrapadora,65,0,engrapadora,50,5,65,Unidad,1,0,0,default.png,1,1
701,6.9729E+12,combo cargador iphone nebro VGA-008,50,-2,combo cargador iphone nebro VGA-008,19,9,26.6,Unidad,1,0,0,default.png,1,1
702,7.50229E+12,pincel mae,6,7,pincel mae,0,5,0,Unidad,1,0,0,default.png,1,1
703,7.50091E+12,cable datos tipo c 2 metros CAB269,50,1,cable datos tipo c 2 metros CAB269,31,9,43.4,Unidad,1,0,0,default.png,1,1
704,6.9729E+12,ADAPTADOR DE CORRIENTE TIPO C 20 W,60,2,ADAPTADOR DE CORRIENTE TIPO C 20 W,30,9,42,Unidad,1,0,0,default.png,1,1
